lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003915327647700906
100,50,75,32,adam,0.0028781883884221315
100,100,50,32,adam,0.0029334856430068613
100,100,75,32,adam,0.0027231260202825068
100,150,50,32,adam,0.0024274543859064577
100,150,75,32,adam,0.002114020031876862
150,50,50,32,adam,0.002419237303547561
150,50,75,32,adam,0.0036615756107494235
150,100,50,32,adam,0.003491002833470702
150,100,75,32,adam,0.0018078627646900714
150,150,50,32,adam,0.002394394436851144
150,150,75,32,adam,0.002737578097730875
100,50,50,64,adam,0.006015353137627244
100,50,75,64,adam,0.0036385066341608763
100,100,50,64,adam,0.0028849430847913025
100,100,75,64,adam,0.0025826164055615664
100,150,50,64,adam,0.003565387800335884
100,150,75,64,adam,0.003918376332148909
150,50,50,64,adam,0.0036841036984696985
150,50,75,64,adam,0.004846290033310652
150,100,50,64,adam,0.00412538496311754
150,100,75,64,adam,0.0026673599728383123
150,150,50,64,adam,0.005065167951397598
150,150,75,64,adam,0.0020966424141079187
