lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0019652500981464983
100,50,75,32,adam,0.0019807051401585342
100,100,50,32,adam,0.001956891384907067
100,100,75,32,adam,0.002598504815250635
100,150,50,32,adam,0.001336963742505759
100,150,75,32,adam,0.0028965651988983156
150,50,50,32,adam,0.0025424864375963806
150,50,75,32,adam,0.0015619091573171318
150,100,50,32,adam,0.0016267040045931935
150,100,75,32,adam,0.0015951366629451513
150,150,50,32,adam,0.001900549919810146
150,150,75,32,adam,0.0020041883224621417
100,50,50,64,adam,0.00473661026917398
100,50,75,64,adam,0.005231559509411454
100,100,50,64,adam,0.002763970708474517
100,100,75,64,adam,0.0021491498220711945
100,150,50,64,adam,0.005023797322064638
100,150,75,64,adam,0.003970882948487997
150,50,50,64,adam,0.00314790231641382
150,50,75,64,adam,0.0016346735646948218
150,100,50,64,adam,0.0029098128783516587
150,100,75,64,adam,0.003303657821379602
150,150,50,64,adam,0.0021788902697153388
150,150,75,64,adam,0.0031880120048299434
