lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004218778619542718
100,50,75,32,adam,0.005008366145193577
100,100,50,32,adam,0.003340143384411931
100,100,75,32,adam,0.0036740156821906565
100,150,50,32,adam,0.004675009474158287
100,150,75,32,adam,0.0036330416332930326
150,50,50,32,adam,0.005488469684496522
150,50,75,32,adam,0.004002665169537067
150,100,50,32,adam,0.005072377575561404
150,100,75,32,adam,0.004764963267371058
150,150,50,32,adam,0.0031345628667622805
150,150,75,32,adam,0.003507541958242655
100,50,50,64,adam,0.005464516207575798
100,50,75,64,adam,0.006074455892667174
100,100,50,64,adam,0.003678191173821688
100,100,75,64,adam,0.0056594318710267546
100,150,50,64,adam,0.003860579105094075
100,150,75,64,adam,0.005618775961920619
150,50,50,64,adam,0.005721438769251108
150,50,75,64,adam,0.0045441306661814455
150,100,50,64,adam,0.004408409213647246
150,100,75,64,adam,0.005796661460772156
150,150,50,64,adam,0.006739343563094735
150,150,75,64,adam,0.00438513895496726
