lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.002951870858669281
100,50,75,32,adam,0.0036788590718060733
100,100,50,32,adam,0.0027893139980733395
100,100,75,32,adam,0.002957124821841717
100,150,50,32,adam,0.0032616901211440564
100,150,75,32,adam,0.0031310510355979206
150,50,50,32,adam,0.003547600191086531
150,50,75,32,adam,0.004050576547160745
150,100,50,32,adam,0.0052427263930439946
150,100,75,32,adam,0.003164795134216547
150,150,50,32,adam,0.0031766398111358284
150,150,75,32,adam,0.002810862706974149
100,50,50,64,adam,0.005041776457801461
100,50,75,64,adam,0.006889416323974729
100,100,50,64,adam,0.003582899272441864
100,100,75,64,adam,0.005926902312785387
100,150,50,64,adam,0.004452155763283372
100,150,75,64,adam,0.0032033138442784546
150,50,50,64,adam,0.0037274459842592477
150,50,75,64,adam,0.006207375880330801
150,100,50,64,adam,0.005037756077945233
150,100,75,64,adam,0.003861058154143393
150,150,50,64,adam,0.004403708409518004
150,150,75,64,adam,0.003439105348661542
