lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0028831953648477794
100,50,75,32,adam,0.0018443797715008258
100,100,50,32,adam,0.002210661442950368
100,100,75,32,adam,0.0023954463889822365
100,150,50,32,adam,0.0026755206286907195
100,150,75,32,adam,0.003965487540699542
150,50,50,32,adam,0.002483610319904983
150,50,75,32,adam,0.0019333872129209339
150,100,50,32,adam,0.004008664167486131
150,100,75,32,adam,0.003105763182975352
150,150,50,32,adam,0.002820702944882214
150,150,75,32,adam,0.0027542227413505315
100,50,50,64,adam,0.005320803495123982
100,50,75,64,adam,0.003648285800591111
100,100,50,64,adam,0.004651095066219568
100,100,75,64,adam,0.00542967664077878
100,150,50,64,adam,0.004305511433631182
100,150,75,64,adam,0.0028186076320707797
150,50,50,64,adam,0.004571288730949164
150,50,75,64,adam,0.0023507241159677504
150,100,50,64,adam,0.0036641188198700547
150,100,75,64,adam,0.0032718600239604713
150,150,50,64,adam,0.0029623076785355805
150,150,75,64,adam,0.0022148107877001167
