lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0059300372377038
100,50,75,32,adam,0.006160532869398594
100,100,50,32,adam,0.005820970237255097
100,100,75,32,adam,0.006094265542924404
100,150,50,32,adam,0.005742922797799111
100,150,75,32,adam,0.006162990164011717
150,50,50,32,adam,0.005592551827430725
150,50,75,32,adam,0.006121051963418722
150,100,50,32,adam,0.006786480266600847
150,100,75,32,adam,0.0053633078001439575
150,150,50,32,adam,0.005435391236096621
150,150,75,32,adam,0.006575654353946447
100,50,50,64,adam,0.008112565707415342
100,50,75,64,adam,0.008644874952733517
100,100,50,64,adam,0.007091789972037077
100,100,75,64,adam,0.005614063050597906
100,150,50,64,adam,0.005671390797942877
100,150,75,64,adam,0.008856357354670764
150,50,50,64,adam,0.0060084251221269366
150,50,75,64,adam,0.006065069697797298
150,100,50,64,adam,0.00890446724370122
150,100,75,64,adam,0.006300661200657487
150,150,50,64,adam,0.00583769790828228
150,150,75,64,adam,0.0065763036254793406
