lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.008345326874405146
100,50,75,32,adam,0.0064396440051496025
100,100,50,32,adam,0.007036177767440676
100,100,75,32,adam,0.006864530825987458
100,150,50,32,adam,0.006690072687342763
100,150,75,32,adam,0.008312569465488195
150,50,50,32,adam,0.007275915704667568
150,50,75,32,adam,0.006232108641415835
150,100,50,32,adam,0.006701502366922796
150,100,75,32,adam,0.007422856288030744
150,150,50,32,adam,0.011049033887684346
150,150,75,32,adam,0.006043992377817631
100,50,50,64,adam,0.009098526020534337
100,50,75,64,adam,0.010267946403473616
100,100,50,64,adam,0.00628117045853287
100,100,75,64,adam,0.00792879518121481
100,150,50,64,adam,0.008036703802645206
100,150,75,64,adam,0.00638436870649457
150,50,50,64,adam,0.00799747344572097
150,50,75,64,adam,0.009132643416523933
150,100,50,64,adam,0.008032026933506131
150,100,75,64,adam,0.010131085198372603
150,150,50,64,adam,0.005979731352999807
150,150,75,64,adam,0.009424130618572234
