lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0040241573238745335
100,50,75,32,adam,0.0020809546345844864
100,100,50,32,adam,0.0023222309071570637
100,100,75,32,adam,0.0035341585520654918
100,150,50,32,adam,0.00296253552660346
100,150,75,32,adam,0.0027900852262973787
150,50,50,32,adam,0.00279427245259285
150,50,75,32,adam,0.001844502193853259
150,100,50,32,adam,0.0019020888023078442
150,100,75,32,adam,0.0020047651836648584
150,150,50,32,adam,0.0018711622338742017
150,150,75,32,adam,0.0019027584698051215
100,50,50,64,adam,0.009831607341766357
100,50,75,64,adam,0.0034880701918154956
100,100,50,64,adam,0.004052830650471151
100,100,75,64,adam,0.003347102040424943
100,150,50,64,adam,0.0037366711068898438
100,150,75,64,adam,0.0030401708791032434
150,50,50,64,adam,0.0022292748326435685
150,50,75,64,adam,0.004603621084243059
150,100,50,64,adam,0.0031446019653230905
150,100,75,64,adam,0.003701159288175404
150,150,50,64,adam,0.0025237897876650094
150,150,75,64,adam,0.003678713156841695
