lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.01671798378229141
100,50,75,32,adam,0.015308259986341
100,100,50,32,adam,0.013152171857655048
100,100,75,32,adam,0.010064052790403366
100,150,50,32,adam,0.0172704441472888
100,150,75,32,adam,0.011560263205319643
150,50,50,32,adam,0.011575562320649624
150,50,75,32,adam,0.01189291225746274
150,100,50,32,adam,0.011526497174054384
150,100,75,32,adam,0.012588862050324678
150,150,50,32,adam,0.011784364655613899
150,150,75,32,adam,0.01181616522371769
100,50,50,64,adam,0.02538882251828909
100,50,75,64,adam,0.02415169309824705
100,100,50,64,adam,0.01860220544040203
100,100,75,64,adam,0.01786620542407036
100,150,50,64,adam,0.01999686285853386
100,150,75,64,adam,0.020321660302579404
150,50,50,64,adam,0.022098237182945013
150,50,75,64,adam,0.012212653271853923
150,100,50,64,adam,0.011731484346091748
150,100,75,64,adam,0.009927669167518615
150,150,50,64,adam,0.011104359105229378
150,150,75,64,adam,0.01063515581190586
