lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005203934269957244
100,50,75,32,adam,0.007508136332035065
100,100,50,32,adam,0.008462129440158606
100,100,75,32,adam,0.008768812590278684
100,150,50,32,adam,0.004285639757290483
100,150,75,32,adam,0.0040465981466695665
150,50,50,32,adam,0.004110699845477938
150,50,75,32,adam,0.004985310044139624
150,100,50,32,adam,0.003892448521219194
150,100,75,32,adam,0.0037869817111641168
150,150,50,32,adam,0.005495044472627342
150,150,75,32,adam,0.005591876665130257
100,50,50,64,adam,0.006234942283481359
100,50,75,64,adam,0.006432134704664349
100,100,50,64,adam,0.017417651414871217
100,100,75,64,adam,0.01108672576956451
100,150,50,64,adam,0.009115758817642927
100,150,75,64,adam,0.009331009280867875
150,50,50,64,adam,0.006151015404611826
150,50,75,64,adam,0.006756357382982969
150,100,50,64,adam,0.008177543338388205
150,100,75,64,adam,0.007675774674862623
150,150,50,64,adam,0.010094009526073932
150,150,75,64,adam,0.008748803008347749
