lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006841399148106575
100,50,75,32,adam,0.006226688483729958
100,100,50,32,adam,0.006962620909325779
100,100,75,32,adam,0.004110350855626166
100,150,50,32,adam,0.010025319224223495
100,150,75,32,adam,0.0034402175806462765
150,50,50,32,adam,0.0035541231278330087
150,50,75,32,adam,0.002215275075286627
150,100,50,32,adam,0.003636259352788329
150,100,75,32,adam,0.003725000564008951
150,150,50,32,adam,0.0043008139356970785
150,150,75,32,adam,0.003640339383855462
100,50,50,64,adam,0.015155251510441304
100,50,75,64,adam,0.006423974130302668
100,100,50,64,adam,0.002811285178177059
100,100,75,64,adam,0.00706415306776762
100,150,50,64,adam,0.005883583100512624
100,150,75,64,adam,0.009108503395691515
150,50,50,64,adam,0.009363495837897062
150,50,75,64,adam,0.010268568154424429
150,100,50,64,adam,0.007128201518207788
150,100,75,64,adam,0.005778993479907513
150,150,50,64,adam,0.010385832516476512
150,150,75,64,adam,0.0072362642269581555
