lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004881164524704218
100,50,75,32,adam,0.0045373823260888456
100,100,50,32,adam,0.0049961782991886135
100,100,75,32,adam,0.007295242510735989
100,150,50,32,adam,0.006224536662921309
100,150,75,32,adam,0.008611796284094453
150,50,50,32,adam,0.00619976834859699
150,50,75,32,adam,0.003622278943657875
150,100,50,32,adam,0.0044974924996495245
150,100,75,32,adam,0.002739356365054846
150,150,50,32,adam,0.003276502410881221
150,150,75,32,adam,0.00320195471867919
100,50,50,64,adam,0.004079404659569264
100,50,75,64,adam,0.014331732876598835
100,100,50,64,adam,0.009518310660496354
100,100,75,64,adam,0.013636440597474575
100,150,50,64,adam,0.004949840111657977
100,150,75,64,adam,0.013831624761223793
150,50,50,64,adam,0.005802151095122099
150,50,75,64,adam,0.0038247815100476146
150,100,50,64,adam,0.010716274380683899
150,100,75,64,adam,0.007250164751894772
150,150,50,64,adam,0.00813100254163146
150,150,75,64,adam,0.005357252806425095
