lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0056854869239032265
100,50,75,32,adam,0.005587754480075091
100,100,50,32,adam,0.005505442782305181
100,100,75,32,adam,0.004104710021056235
100,150,50,32,adam,0.004997207270935178
100,150,75,32,adam,0.004046318819746375
150,50,50,32,adam,0.0078084459761157635
150,50,75,32,adam,0.008295150008052588
150,100,50,32,adam,0.0044290181365795435
150,100,75,32,adam,0.003821732895448804
150,150,50,32,adam,0.004363458533771336
150,150,75,32,adam,0.0024831468472257257
100,50,50,64,adam,0.014437763509340585
100,50,75,64,adam,0.015405858727172017
100,100,50,64,adam,0.004710120311938226
100,100,75,64,adam,0.007086398755200207
100,150,50,64,adam,0.005175868608057499
100,150,75,64,adam,0.0032331199618056417
150,50,50,64,adam,0.003204945893958211
150,50,75,64,adam,0.005913522792980075
150,100,50,64,adam,0.008991212397813798
150,100,75,64,adam,0.004593022307381034
150,150,50,64,adam,0.002654550061561167
150,150,75,64,adam,0.008517324272543193
