lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00886893505230546
100,50,75,32,adam,0.00874752439558506
100,100,50,32,adam,0.010974511178210378
100,100,75,32,adam,0.0025021506240591406
100,150,50,32,adam,0.007797566847875715
100,150,75,32,adam,0.008691854728385805
150,50,50,32,adam,0.0024922048673033715
150,50,75,32,adam,0.0035339077934622765
150,100,50,32,adam,0.0037266282364726067
150,100,75,32,adam,0.003095491509884596
150,150,50,32,adam,0.002770423982292414
150,150,75,32,adam,0.0028141488786786796
100,50,50,64,adam,0.014271584525704383
100,50,75,64,adam,0.014530487544834613
100,100,50,64,adam,0.010819219541735947
100,100,75,64,adam,0.013501914497464896
100,150,50,64,adam,0.004675142280757427
100,150,75,64,adam,0.006291008647531271
150,50,50,64,adam,0.0033185113687068226
150,50,75,64,adam,0.004374670307151973
150,100,50,64,adam,0.011499938764609396
150,100,75,64,adam,0.004522341955453158
150,150,50,64,adam,0.005887619010172785
150,150,75,64,adam,0.005463078850880265
