lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005696060234913603
100,50,75,32,adam,0.0065076664788648484
100,100,50,32,adam,0.004805547231808305
100,100,75,32,adam,0.0020544383791275323
100,150,50,32,adam,0.0013825241243466736
100,150,75,32,adam,0.006193775916472077
150,50,50,32,adam,0.009740798664279283
150,50,75,32,adam,0.009742907783947884
150,100,50,32,adam,0.003043343708850443
150,100,75,32,adam,0.007486210973002017
150,150,50,32,adam,0.00558297045645304
150,150,75,32,adam,0.002586224093101919
100,50,50,64,adam,0.006226890487596393
100,50,75,64,adam,0.012176578305661679
100,100,50,64,adam,0.005356446816585958
100,100,75,64,adam,0.00939374016597867
100,150,50,64,adam,0.01578111662529409
100,150,75,64,adam,0.01425621211528778
150,50,50,64,adam,0.004426081152632833
150,50,75,64,adam,0.0053851785836741325
150,100,50,64,adam,0.007463373034261167
150,100,75,64,adam,0.002084645500872284
150,150,50,64,adam,0.012037514336407184
150,150,75,64,adam,0.005328501015901566
