lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.010502555407583714
100,50,75,32,adam,0.008566760411486029
100,100,50,32,adam,0.004941241489723325
100,100,75,32,adam,0.008825926901772618
100,150,50,32,adam,0.004470279859378934
100,150,75,32,adam,0.007080578128807247
150,50,50,32,adam,0.00664584175683558
150,50,75,32,adam,0.003898694133386016
150,100,50,32,adam,0.006518149189651013
150,100,75,32,adam,0.0067398128099739555
150,150,50,32,adam,0.005376390111632645
150,150,75,32,adam,0.0053328203968703745
100,50,50,64,adam,0.017295103566721082
100,50,75,64,adam,0.017031750455498696
100,100,50,64,adam,0.011568408226594329
100,100,75,64,adam,0.009133059345185757
100,150,50,64,adam,0.0059924253961071376
100,150,75,64,adam,0.007746080961078405
150,50,50,64,adam,0.004084654944017529
150,50,75,64,adam,0.003952544112689793
150,100,50,64,adam,0.006704103155061603
150,100,75,64,adam,0.005789004219695926
150,150,50,64,adam,0.005378117482177913
150,150,75,64,adam,0.009616998862475157
