lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009427292575128376
100,50,75,32,adam,0.0056110929697752
100,100,50,32,adam,0.004792801849544048
100,100,75,32,adam,0.008689548913389444
100,150,50,32,adam,0.007443994004279375
100,150,75,32,adam,0.003859565150924027
150,50,50,32,adam,0.0034394584130495788
150,50,75,32,adam,0.0063209442887455225
150,100,50,32,adam,0.004867945774458348
150,100,75,32,adam,0.006706835282966494
150,150,50,32,adam,0.008299587992951274
150,150,75,32,adam,0.007072430895641446
100,50,50,64,adam,0.010829477198421955
100,50,75,64,adam,0.01935751554556191
100,100,50,64,adam,0.01394182830117643
100,100,75,64,adam,0.012232599407434463
100,150,50,64,adam,0.010896251630038023
100,150,75,64,adam,0.005536948703229428
150,50,50,64,adam,0.013300873572006822
150,50,75,64,adam,0.014743670308962464
150,100,50,64,adam,0.010554460249841214
150,100,75,64,adam,0.006418274436146021
150,150,50,64,adam,0.004300665319897234
150,150,75,64,adam,0.005849626613780856
