lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009921034122817219
100,50,75,32,adam,0.008258268400095404
100,100,50,32,adam,0.007932964619249106
100,100,75,32,adam,0.002423427579924464
100,150,50,32,adam,0.008329572016373276
100,150,75,32,adam,0.008098063361831009
150,50,50,32,adam,0.01006378959864378
150,50,75,32,adam,0.002333829994313419
150,100,50,32,adam,0.002553096320480108
150,100,75,32,adam,0.0038976237643510102
150,150,50,32,adam,0.004513772903010249
150,150,75,32,adam,0.0029532935470342634
100,50,50,64,adam,0.016200129548087715
100,50,75,64,adam,0.013322250335477293
100,100,50,64,adam,0.004077416798099876
100,100,75,64,adam,0.017647206829860807
100,150,50,64,adam,0.01006489812862128
100,150,75,64,adam,0.006094714067876339
150,50,50,64,adam,0.005104788928292692
150,50,75,64,adam,0.010759555827826261
150,100,50,64,adam,0.01706295907497406
150,100,75,64,adam,0.005641831085085869
150,150,50,64,adam,0.006202921108342707
150,150,75,64,adam,0.005083766533061862
