lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.007765763252973556
100,50,75,32,adam,0.004746722150593996
100,100,50,32,adam,0.0060501893050968645
100,100,75,32,adam,0.006295529240742326
100,150,50,32,adam,0.007620253320783377
100,150,75,32,adam,0.004900065949186683
150,50,50,32,adam,0.0064277175115421414
150,50,75,32,adam,0.0037288307677954434
150,100,50,32,adam,0.006452483450993895
150,100,75,32,adam,0.0038500968599691986
150,150,50,32,adam,0.003811582550406456
150,150,75,32,adam,0.003965425794012845
100,50,50,64,adam,0.012932457868009806
100,50,75,64,adam,0.009671361092478037
100,100,50,64,adam,0.004337959154509008
100,100,75,64,adam,0.010035291616804897
100,150,50,64,adam,0.008653772622346878
100,150,75,64,adam,0.007083197124302387
150,50,50,64,adam,0.0033035471104085447
150,50,75,64,adam,0.008088041958399118
150,100,50,64,adam,0.008863679994829
150,100,75,64,adam,0.004965050518512726
150,150,50,64,adam,0.004970975359901786
150,150,75,64,adam,0.005771094746887684
