lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009624624159187078
100,50,75,32,adam,0.007242042943835259
100,100,50,32,adam,0.010541556775569916
100,100,75,32,adam,0.010035010799765588
100,150,50,32,adam,0.006846101582050323
100,150,75,32,adam,0.00795585997402668
150,50,50,32,adam,0.0102544239256531
150,50,75,32,adam,0.012660009134560824
150,100,50,32,adam,0.009604142606258392
150,100,75,32,adam,0.01309855617582798
150,150,50,32,adam,0.009585938043892383
150,150,75,32,adam,0.009044490940868854
100,50,50,64,adam,0.016493731550872325
100,50,75,64,adam,0.020575866801664233
100,100,50,64,adam,0.020105806272476913
100,100,75,64,adam,0.014679321181029081
100,150,50,64,adam,0.007458886690437793
100,150,75,64,adam,0.010180743411183357
150,50,50,64,adam,0.014089304860681296
150,50,75,64,adam,0.00899573490023613
150,100,50,64,adam,0.015486649610102177
150,100,75,64,adam,0.014244392793625594
150,150,50,64,adam,0.00957853957079351
150,150,75,64,adam,0.010744574014097452
