lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0061256774235516785
100,50,75,32,adam,0.005507069616578519
100,100,50,32,adam,0.0041866174433380365
100,100,75,32,adam,0.00505196088925004
100,150,50,32,adam,0.0019921776605769993
100,150,75,32,adam,0.008252360695041715
150,50,50,32,adam,0.003978759725578129
150,50,75,32,adam,0.007000460103154182
150,100,50,32,adam,0.0034042625455185773
150,100,75,32,adam,0.0022789996583014727
150,150,50,32,adam,0.0023535195039585234
150,150,75,32,adam,0.004033099859952927
100,50,50,64,adam,0.010804880037903785
100,50,75,64,adam,0.004999320337083191
100,100,50,64,adam,0.008875667490065098
100,100,75,64,adam,0.009598753438331187
100,150,50,64,adam,0.008437601127661764
100,150,75,64,adam,0.011286088451743125
150,50,50,64,adam,0.0037333413027226927
150,50,75,64,adam,0.004784967703744769
150,100,50,64,adam,0.007231774739921093
150,100,75,64,adam,0.004773377487435937
150,150,50,64,adam,0.0031443533371202648
150,150,75,64,adam,0.005022689769975841
