lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.010032526310533285
100,50,75,32,adam,0.0073088608682155606
100,100,50,32,adam,0.00509721648413688
100,100,75,32,adam,0.004152356460690498
100,150,50,32,adam,0.009124423051252962
100,150,75,32,adam,0.00595067935064435
150,50,50,32,adam,0.004001517128199339
150,50,75,32,adam,0.009894753200933337
150,100,50,32,adam,0.008680483140051366
150,100,75,32,adam,0.005578294862061739
150,150,50,32,adam,0.0045644002966582775
150,150,75,32,adam,0.003462083963677287
100,50,50,64,adam,0.017994595412164926
100,50,75,64,adam,0.005001028953120113
100,100,50,64,adam,0.013245448656380176
100,100,75,64,adam,0.01213610265403986
100,150,50,64,adam,0.007987000280991197
100,150,75,64,adam,0.005276309512555599
150,50,50,64,adam,0.00852740928530693
150,50,75,64,adam,0.010440598102286458
150,100,50,64,adam,0.0061266951262950895
150,100,75,64,adam,0.004784153262153268
150,150,50,64,adam,0.004920303041581064
150,150,75,64,adam,0.00828883945941925
