lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005890324153006077
100,50,75,32,adam,0.007983881095424295
100,100,50,32,adam,0.01050243740901351
100,100,75,32,adam,0.006026962352916598
100,150,50,32,adam,0.010711397137492895
100,150,75,32,adam,0.0032883685082197188
150,50,50,32,adam,0.0035449767019599676
150,50,75,32,adam,0.00719756456092
150,100,50,32,adam,0.007591019989922643
150,100,75,32,adam,0.0044721211306750774
150,150,50,32,adam,0.0050099070882424716
150,150,75,32,adam,0.0037280917167663574
100,50,50,64,adam,0.01228466620668769
100,50,75,64,adam,0.010348371230065823
100,100,50,64,adam,0.008718298701569437
100,100,75,64,adam,0.00821127723902464
100,150,50,64,adam,0.015418163919821381
100,150,75,64,adam,0.011108454782515764
150,50,50,64,adam,0.012513005826622247
150,50,75,64,adam,0.012589381588622928
150,100,50,64,adam,0.003771799150854349
150,100,75,64,adam,0.007332521444186568
150,150,50,64,adam,0.007692814944311977
150,150,75,64,adam,0.00738380840048194
