lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.013507124595344066
100,50,75,32,adam,0.007436966896057129
100,100,50,32,adam,0.012878203392028808
100,100,75,32,adam,0.011896293144673109
100,150,50,32,adam,0.011896242294460535
100,150,75,32,adam,0.0066429397091269495
150,50,50,32,adam,0.00696916151791811
150,50,75,32,adam,0.006309433653950691
150,100,50,32,adam,0.008108036452904343
150,100,75,32,adam,0.006358024850487709
150,150,50,32,adam,0.009335592854768038
150,150,75,32,adam,0.010701228305697441
100,50,50,64,adam,0.017333319783210753
100,50,75,64,adam,0.011586764710955322
100,100,50,64,adam,0.009261908754706383
100,100,75,64,adam,0.014674048870801926
100,150,50,64,adam,0.009180957451462746
100,150,75,64,adam,0.013986215833574534
150,50,50,64,adam,0.009989200299605728
150,50,75,64,adam,0.01672334484755993
150,100,50,64,adam,0.009190667048096656
150,100,75,64,adam,0.010422519035637378
150,150,50,64,adam,0.00725898053497076
150,150,75,64,adam,0.012175936251878738
