lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.013941827323287725
100,50,75,32,adam,0.011167618632316589
100,100,50,32,adam,0.008148994157090783
100,100,75,32,adam,0.011979857180267572
100,150,50,32,adam,0.015814544819295406
100,150,75,32,adam,0.011691235424950718
150,50,50,32,adam,0.006796748144552112
150,50,75,32,adam,0.006178581016138196
150,100,50,32,adam,0.007348305452615023
150,100,75,32,adam,0.006761722732335329
150,150,50,32,adam,0.006613051937893033
150,150,75,32,adam,0.008222546381875872
100,50,50,64,adam,0.012705453112721444
100,50,75,64,adam,0.012734541576355696
100,100,50,64,adam,0.012958028726279736
100,100,75,64,adam,0.01574375662021339
100,150,50,64,adam,0.010590879851952196
100,150,75,64,adam,0.00730307400226593
150,50,50,64,adam,0.011630649864673614
150,50,75,64,adam,0.015083899162709713
150,100,50,64,adam,0.008783037401735782
150,100,75,64,adam,0.007548697106540203
150,150,50,64,adam,0.007930528186261655
150,150,75,64,adam,0.007578902132809162
