lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.008688484644517302
100,50,75,32,adam,0.009835712239146232
100,100,50,32,adam,0.0033266990911215545
100,100,75,32,adam,0.0017105685779824852
100,150,50,32,adam,0.009891507076099515
100,150,75,32,adam,0.006774348323233426
150,50,50,32,adam,0.003667658753693104
150,50,75,32,adam,0.0021304638939909637
150,100,50,32,adam,0.004808237031102181
150,100,75,32,adam,0.0029044477618299426
150,150,50,32,adam,0.004243248282000423
150,150,75,32,adam,0.003517655935138464
100,50,50,64,adam,0.013191843987442553
100,50,75,64,adam,0.010277196066454053
100,100,50,64,adam,0.005151396477594971
100,100,75,64,adam,0.006873399834148586
100,150,50,64,adam,0.005889138672500849
100,150,75,64,adam,0.0023131432360969486
150,50,50,64,adam,0.008740742178633808
150,50,75,64,adam,0.003673297539353371
150,100,50,64,adam,0.0048596841050311925
150,100,75,64,adam,0.004419818660244346
150,150,50,64,adam,0.0055776103981770575
150,150,75,64,adam,0.00516965938732028
