lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009691939316689968
100,50,75,32,adam,0.009810521639883519
100,100,50,32,adam,0.01031359601765871
100,100,75,32,adam,0.009748026356101036
100,150,50,32,adam,0.01187192164361477
100,150,75,32,adam,0.01161175649613142
150,50,50,32,adam,0.010693096928298474
150,50,75,32,adam,0.010975846461951733
150,100,50,32,adam,0.00974265169352293
150,100,75,32,adam,0.013072162494063377
150,150,50,32,adam,0.011162999272346496
150,150,75,32,adam,0.010705768316984176
100,50,50,64,adam,0.010756592638790608
100,50,75,64,adam,0.012471559830009938
100,100,50,64,adam,0.01320834569633007
100,100,75,64,adam,0.010197708010673523
100,150,50,64,adam,0.011782805062830448
100,150,75,64,adam,0.012027096748352051
150,50,50,64,adam,0.012310660071671009
150,50,75,64,adam,0.012781688757240773
150,100,50,64,adam,0.012133993022143841
150,100,75,64,adam,0.011664792522788047
150,150,50,64,adam,0.015082028508186341
150,150,75,64,adam,0.012376006878912448
