lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.011485048476606608
100,50,75,32,adam,0.01320468820631504
100,100,50,32,adam,0.012554441252723337
100,100,75,32,adam,0.012005072040483355
100,150,50,32,adam,0.01393277496099472
100,150,75,32,adam,0.014474842324852943
150,50,50,32,adam,0.012415735889226199
150,50,75,32,adam,0.013215464167296886
150,100,50,32,adam,0.013486978318542241
150,100,75,32,adam,0.013409978058189154
150,150,50,32,adam,0.014522055676206947
150,150,75,32,adam,0.012986153829842806
100,50,50,64,adam,0.013084654789417982
100,50,75,64,adam,0.013938295096158982
100,100,50,64,adam,0.015626056864857674
100,100,75,64,adam,0.014330706931650639
100,150,50,64,adam,0.012309056986123324
100,150,75,64,adam,0.01418471448123455
150,50,50,64,adam,0.014005508925765752
150,50,75,64,adam,0.013892474304884671
150,100,50,64,adam,0.015370015054941177
150,100,75,64,adam,0.0131688941270113
150,150,50,64,adam,0.014899877086281776
150,150,75,64,adam,0.012203648360446096
