lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0021601319080218674
100,50,75,32,adam,0.002443821891210973
100,100,50,32,adam,0.003250603377819061
100,100,75,32,adam,0.0022566126193851233
100,150,50,32,adam,0.0020336830755695702
100,150,75,32,adam,0.0024024478625506163
150,50,50,32,adam,0.002637604041956365
150,50,75,32,adam,0.004210294596850872
150,100,50,32,adam,0.0021318876883015037
150,100,75,32,adam,0.002404401358217001
150,150,50,32,adam,0.0021815690910443664
150,150,75,32,adam,0.002886569174006581
100,50,50,64,adam,0.003973752539604902
100,50,75,64,adam,0.006215464835986495
100,100,50,64,adam,0.004166487138718367
100,100,75,64,adam,0.004218666790984571
100,150,50,64,adam,0.0038483972661197186
100,150,75,64,adam,0.004871096648275852
150,50,50,64,adam,0.004254920710809529
150,50,75,64,adam,0.0020924464799463747
150,100,50,64,adam,0.0034131143242120744
150,100,75,64,adam,0.002964136912487447
150,150,50,64,adam,0.003277797717601061
150,150,75,64,adam,0.004167412687093019
