lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006280987523496151
100,50,75,32,adam,0.006375609617680311
100,100,50,32,adam,0.00638467725366354
100,100,75,32,adam,0.006933753518387676
100,150,50,32,adam,0.007297616126015783
100,150,75,32,adam,0.006770906923338771
150,50,50,32,adam,0.007563877291977406
150,50,75,32,adam,0.009939906140789389
150,100,50,32,adam,0.005804754374548793
150,100,75,32,adam,0.0060387271456420425
150,150,50,32,adam,0.007118784636259079
150,150,75,32,adam,0.007626807363703847
100,50,50,64,adam,0.005868803057819605
