lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00473462741356343
100,50,75,32,adam,0.007147644460201263
100,100,50,32,adam,0.006869975919835269
100,100,75,32,adam,0.007765349745750427
100,150,50,32,adam,0.0052811684086918834
100,150,75,32,adam,0.0055716103874146935
150,50,50,32,adam,0.004504188965074718
150,50,75,32,adam,0.004622518643736839
150,100,50,32,adam,0.0052035364089533685
150,100,75,32,adam,0.00480985704343766
150,150,50,32,adam,0.006471292860805988
150,150,75,32,adam,0.004922146070748567
100,50,50,64,adam,0.007607470545917749
100,50,75,64,adam,0.010313634853810072
100,100,50,64,adam,0.004611904569901526
100,100,75,64,adam,0.009290332370437682
100,150,50,64,adam,0.008082635793834924
100,150,75,64,adam,0.007662733038887382
150,50,50,64,adam,0.006303626485168934
150,50,75,64,adam,0.006457095453515649
150,100,50,64,adam,0.007396929850801826
150,100,75,64,adam,0.005912603531032801
150,150,50,64,adam,0.004660605150274932
150,150,75,64,adam,0.006096158362925053
