lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003324100887402892
100,50,75,32,adam,0.004375355411320924
100,100,50,32,adam,0.005596145614981651
100,100,75,32,adam,0.0054357559885829685
100,150,50,32,adam,0.005606183037161827
100,150,75,32,adam,0.004067149898037315
150,50,50,32,adam,0.004872903553768992
150,50,75,32,adam,0.004562674695625902
150,100,50,32,adam,0.003724469570443034
150,100,75,32,adam,0.003771347785368562
150,150,50,32,adam,0.0032189349876716733
150,150,75,32,adam,0.004881080612540245
100,50,50,64,adam,0.009835240617394447
100,50,75,64,adam,0.008466596016660333
100,100,50,64,adam,0.008983028307557105
100,100,75,64,adam,0.007491764705628156
100,150,50,64,adam,0.009857581183314323
100,150,75,64,adam,0.009389143157750367
150,50,50,64,adam,0.0059994209557771684
150,50,75,64,adam,0.008262099279090763
150,100,50,64,adam,0.00399744650349021
150,100,75,64,adam,0.00352212181314826
150,150,50,64,adam,0.00706774927675724
150,150,75,64,adam,0.005947574600577354
