lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0026755946921184657
100,50,75,32,adam,0.0024942099815234544
100,100,50,32,adam,0.003127612266689539
100,100,75,32,adam,0.0021928260568529366
100,150,50,32,adam,0.0021976604359224437
100,150,75,32,adam,0.0028186015784740447
150,50,50,32,adam,0.0022887124214321375
150,50,75,32,adam,0.008271714369766415
150,100,50,32,adam,0.0023416456067934634
150,100,75,32,adam,0.0035118990344926715
150,150,50,32,adam,0.002344569377601147
150,150,75,32,adam,0.001980819716118276
100,50,50,64,adam,0.004553740145638585
100,50,75,64,adam,0.010209930571727454
100,100,50,64,adam,0.0050843058619648215
100,100,75,64,adam,0.006232556607574225
100,150,50,64,adam,0.005331875802949071
100,150,75,64,adam,0.005816658772528171
150,50,50,64,adam,0.00894662255886942
150,50,75,64,adam,0.005104611627757549
150,100,50,64,adam,0.00346133285202086
150,100,75,64,adam,0.003442506864666939
150,150,50,64,adam,0.003373916773125529
150,150,75,64,adam,0.005158797930926084
