lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00979255922138691
100,50,75,32,adam,0.009981994889676571
100,100,50,32,adam,0.01204891074448824
100,100,75,32,adam,0.011895041540265083
100,150,50,32,adam,0.01232241615653038
100,150,75,32,adam,0.01380161102861166
150,50,50,32,adam,0.009506657440215349
150,50,75,32,adam,0.00916632991284132
150,100,50,32,adam,0.010353397578001022
150,100,75,32,adam,0.011753561533987522
150,150,50,32,adam,0.01066424548625946
150,150,75,32,adam,0.008877178095281124
100,50,50,64,adam,0.01344809252768755
100,50,75,64,adam,0.01267262538895011
100,100,50,64,adam,0.009543373808264732
100,100,75,64,adam,0.012102575600147247
100,150,50,64,adam,0.010307802073657512
100,150,75,64,adam,0.014854820258915425
150,50,50,64,adam,0.012775157857686282
150,50,75,64,adam,0.014108517952263356
150,100,50,64,adam,0.009306782763451338
150,100,75,64,adam,0.011263683158904313
150,150,50,64,adam,0.014118319563567638
150,150,75,64,adam,0.01627961080521345
