lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00973773137666285
100,50,75,32,adam,0.010704706609249114
100,100,50,32,adam,0.010822213697247207
100,100,75,32,adam,0.010231232037767768
100,150,50,32,adam,0.00901550562120974
100,150,75,32,adam,0.00852807192131877
150,50,50,32,adam,0.00839693946763873
150,50,75,32,adam,0.010149703337810933
150,100,50,32,adam,0.007806537253782153
150,100,75,32,adam,0.008846724499017
150,150,50,32,adam,0.010970695037394762
150,150,75,32,adam,0.009856072114780545
100,50,50,64,adam,0.011739471880719065
100,50,75,64,adam,0.013392698299139739
100,100,50,64,adam,0.011682391259819269
100,100,75,64,adam,0.010712697170674801
100,150,50,64,adam,0.009091408737003804
100,150,75,64,adam,0.008469814714044333
150,50,50,64,adam,0.0102329364977777
150,50,75,64,adam,0.009213363262824714
150,100,50,64,adam,0.011611270671710371
150,100,75,64,adam,0.008982989890500902
150,150,50,64,adam,0.012434118054807186
150,150,75,64,adam,0.013746893964707851
