lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005903273914009332
100,50,75,32,adam,0.004194541042670608
100,100,50,32,adam,0.003221413237042725
100,100,75,32,adam,0.004663129104301333
100,150,50,32,adam,0.0038425995036959646
100,150,75,32,adam,0.004273054702207446
150,50,50,32,adam,0.003666079044342041
150,50,75,32,adam,0.004529573721811175
150,100,50,32,adam,0.004391319560818374
150,100,75,32,adam,0.003924242360517383
150,150,50,32,adam,0.005100966338068247
150,150,75,32,adam,0.004007066832855344
100,50,50,64,adam,0.005345740960910917
100,50,75,64,adam,0.004624807834625244
100,100,50,64,adam,0.00712668658234179
100,100,75,64,adam,0.005445607658475638
100,150,50,64,adam,0.004280273756012321
100,150,75,64,adam,0.005689912685193121
150,50,50,64,adam,0.006428473070263863
150,50,75,64,adam,0.005976975942030549
150,100,50,64,adam,0.00454088062979281
150,100,75,64,adam,0.002857500035315752
150,150,50,64,adam,0.005811001639813185
150,150,75,64,adam,0.0036368973553180693
