lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.01693298164755106
100,50,75,32,adam,0.01278923088684678
100,100,50,32,adam,0.01457367641851306
100,100,75,32,adam,0.011235090065747499
100,150,50,32,adam,0.011437359731644392
100,150,75,32,adam,0.011625941935926675
150,50,50,32,adam,0.010661108791828156
150,50,75,32,adam,0.011430084332823753
150,100,50,32,adam,0.011931368242949247
150,100,75,32,adam,0.011468818690627814
150,150,50,32,adam,0.010476109618321062
150,150,75,32,adam,0.011474835686385632
100,50,50,64,adam,0.024443348683416844
100,50,75,64,adam,0.013711189106106757
100,100,50,64,adam,0.012508757691830397
100,100,75,64,adam,0.013977137301117182
100,150,50,64,adam,0.021256638504564763
100,150,75,64,adam,0.012191632017493247
150,50,50,64,adam,0.010778068285435437
150,50,75,64,adam,0.014408912137150764
150,100,50,64,adam,0.017438793368637562
150,100,75,64,adam,0.014259341917932034
150,150,50,64,adam,0.012485081423074007
150,150,75,64,adam,0.013501445390284061
