lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0044521841453388335
100,50,75,32,adam,0.004169636382721364
100,100,50,32,adam,0.005454285303130746
100,100,75,32,adam,0.003831290500238538
100,150,50,32,adam,0.00422038221731782
100,150,75,32,adam,0.005041321599856019
150,50,50,32,adam,0.005576029000803828
150,50,75,32,adam,0.004517556191422046
150,100,50,32,adam,0.004466142854653299
150,100,75,32,adam,0.0036647071596235038
150,150,50,32,adam,0.003783397935330868
150,150,75,32,adam,0.004096184973604977
100,50,50,64,adam,0.010055900923907757
100,50,75,64,adam,0.004947847547009587
100,100,50,64,adam,0.006669084541499615
100,100,75,64,adam,0.005861856322735548
100,150,50,64,adam,0.005303827812895179
100,150,75,64,adam,0.0074323914013803005
150,50,50,64,adam,0.005570142576470971
150,50,75,64,adam,0.004500286420807242
150,100,50,64,adam,0.0032134448643773793
150,100,75,64,adam,0.0054882590658962725
150,150,50,64,adam,0.004589244676753879
150,150,75,64,adam,0.005461517116054892
