lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0030408086720854046
100,50,75,32,adam,0.004215280106291175
100,100,50,32,adam,0.0020102895679883657
100,100,75,32,adam,0.0023167756968177854
100,150,50,32,adam,0.0031284951604902745
100,150,75,32,adam,0.003908164473250509
150,50,50,32,adam,0.0031160391168668865
150,50,75,32,adam,0.0033335008192807436
150,100,50,32,adam,0.0024650249164551497
150,100,75,32,adam,0.0022645775228738786
150,150,50,32,adam,0.002469490305520594
150,150,75,32,adam,0.002921420522034168
100,50,50,64,adam,0.00399461678462103
100,50,75,64,adam,0.006068550795316696
100,100,50,64,adam,0.005572031252086163
100,100,75,64,adam,0.005869564972817898
100,150,50,64,adam,0.004542529885657132
100,150,75,64,adam,0.0032038706820458175
150,50,50,64,adam,0.005446263682097196
150,50,75,64,adam,0.005546990665607154
150,100,50,64,adam,0.004303226107731461
150,100,75,64,adam,0.00412940070964396
150,150,50,64,adam,0.006310120318084955
150,150,75,64,adam,0.0035454529337584973
