lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005557144084013999
100,50,75,32,adam,0.005402169935405254
100,100,50,32,adam,0.0026621049735695125
100,100,75,32,adam,0.003440267301630229
100,150,50,32,adam,0.0038071305491030214
100,150,75,32,adam,0.0038659436628222465
150,50,50,32,adam,0.004977411427535117
150,50,75,32,adam,0.004355032416060567
150,100,50,32,adam,0.003400473948568106
150,100,75,32,adam,0.0024231713032349944
150,150,50,32,adam,0.004304165532812476
150,150,75,32,adam,0.00405718139372766
100,50,50,64,adam,0.006153197027742863
100,50,75,64,adam,0.0072643579449504616
100,100,50,64,adam,0.00867280550301075
100,100,75,64,adam,0.008535569254308938
100,150,50,64,adam,0.0064979350659996275
100,150,75,64,adam,0.005514669418334961
150,50,50,64,adam,0.0051178966532461345
150,50,75,64,adam,0.0053114318288862705
150,100,50,64,adam,0.0054159962572157385
150,100,75,64,adam,0.003975733276456594
150,150,50,64,adam,0.007402810640633107
150,150,75,64,adam,0.003994500450789929
