lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.007865148037672043
100,50,75,32,adam,0.008049018122255803
100,100,50,32,adam,0.009366424195468426
100,100,75,32,adam,0.005284589435905218
100,150,50,32,adam,0.004212730983272195
100,150,75,32,adam,0.007819959335029126
150,50,50,32,adam,0.00500821708701551
150,50,75,32,adam,0.005688801337964833
150,100,50,32,adam,0.006194763584062457
150,100,75,32,adam,0.005043413140811026
150,150,50,32,adam,0.005266097839921713
150,150,75,32,adam,0.004701735242269934
100,50,50,64,adam,0.010747604630887508
100,50,75,64,adam,0.009212169423699379
100,100,50,64,adam,0.0066697553265839815
100,100,75,64,adam,0.011089654546231032
100,150,50,64,adam,0.011948154121637345
100,150,75,64,adam,0.0077933243475854395
150,50,50,64,adam,0.008432209910824894
150,50,75,64,adam,0.012221694737672806
150,100,50,64,adam,0.007421609992161393
150,100,75,64,adam,0.005214310111477971
150,150,50,64,adam,0.007768289837986231
150,150,75,64,adam,0.005617383029311895
