lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0016810529865324496
100,50,75,32,adam,0.006893104407936335
100,100,50,32,adam,0.0017332618590444326
100,100,75,32,adam,0.002901912829838693
100,150,50,32,adam,0.002351899305358529
100,150,75,32,adam,0.003357589873485267
150,50,50,32,adam,0.003410520660690963
150,50,75,32,adam,0.0028993507148697972
150,100,50,32,adam,0.002021170384250581
150,100,75,32,adam,0.00270513198338449
150,150,50,32,adam,0.0012472099158912897
150,150,75,32,adam,0.0023625374888069928
100,50,50,64,adam,0.004080004035495221
100,50,75,64,adam,0.003284340212121606
100,100,50,64,adam,0.006457180436700583
100,100,75,64,adam,0.007395447650924325
100,150,50,64,adam,0.0048452723305672405
100,150,75,64,adam,0.005418396391905844
150,50,50,64,adam,0.003159980080090463
150,50,75,64,adam,0.0038408239488489926
150,100,50,64,adam,0.004816022608429194
150,100,75,64,adam,0.003706069546751678
150,150,50,64,adam,0.0022844904800876976
150,150,75,64,adam,0.0030280368402600287
