lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0026245643151924015
100,50,75,32,adam,0.0023893724661320447
100,100,50,32,adam,0.0036156737012788655
100,100,75,32,adam,0.002463668235577643
100,150,50,32,adam,0.002354306378401816
100,150,75,32,adam,0.0025550898630172015
150,50,50,32,adam,0.003410101309418678
150,50,75,32,adam,0.0026505535701289774
150,100,50,32,adam,0.0025027720257639885
150,100,75,32,adam,0.0015243158442899585
150,150,50,32,adam,0.0021365282824262976
150,150,75,32,adam,0.003309192764572799
100,50,50,64,adam,0.0029871255392208695
100,50,75,64,adam,0.007368705375120044
100,100,50,64,adam,0.004152525565586984
100,100,75,64,adam,0.005220109201036394
100,150,50,64,adam,0.004469808586873114
100,150,75,64,adam,0.004438375518657267
150,50,50,64,adam,0.005119860544800759
150,50,75,64,adam,0.0055503615410998465
150,100,50,64,adam,0.004778983583673835
150,100,75,64,adam,0.0033972324104979633
150,150,50,64,adam,0.004531647101975978
150,150,75,64,adam,0.0032635983545333145
