lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0038578631822019814
100,50,75,32,adam,0.0033858488779515026
100,100,50,32,adam,0.00778183238580823
100,100,75,32,adam,0.006965569499880075
100,150,50,32,adam,0.004883775627240539
100,150,75,32,adam,0.006753576872870326
150,50,50,32,adam,0.007327490230090916
150,50,75,32,adam,0.006896885065361858
150,100,50,32,adam,0.0032813684083521366
150,100,75,32,adam,0.006306502223014832
150,150,50,32,adam,0.004890953516587615
150,150,75,32,adam,0.004325996898114681
100,50,50,64,adam,0.008065775781869889
100,50,75,64,adam,0.00822868556715548
100,100,50,64,adam,0.006621920107863844
100,100,75,64,adam,0.006963527342304587
100,150,50,64,adam,0.007645911909639836
100,150,75,64,adam,0.00726040662266314
150,50,50,64,adam,0.007557895546779036
150,50,75,64,adam,0.009728963393718005
150,100,50,64,adam,0.00588881834410131
150,100,75,64,adam,0.004177619842812419
150,150,50,64,adam,0.0073844188824296
150,150,75,64,adam,0.005339522426947951
