lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.004533165227621793
100,50,75,32,adam,0.00462575675919652
100,100,50,32,adam,0.006839512567967177
100,100,75,32,adam,0.007789899501949549
100,150,50,32,adam,0.004612642712891102
100,150,75,32,adam,0.005133495340123773
150,50,50,32,adam,0.006894080713391304
150,50,75,32,adam,0.003701851097866893
150,100,50,32,adam,0.004533417336642742
150,100,75,32,adam,0.005045423470437527
150,150,50,32,adam,0.0043982203584164384
150,150,75,32,adam,0.004289020737633109
100,50,50,64,adam,0.0050320335198193785
100,50,75,64,adam,0.0092316135764122
100,100,50,64,adam,0.007299273042008281
100,100,75,64,adam,0.01069089761003852
100,150,50,64,adam,0.008832666836678982
100,150,75,64,adam,0.007224549679085613
150,50,50,64,adam,0.0057561956346035
150,50,75,64,adam,0.005559592274948955
150,100,50,64,adam,0.005902754887938499
150,100,75,64,adam,0.004588948097079992
150,150,50,64,adam,0.006910074269399047
150,150,75,64,adam,0.008727781660854816
