lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0043741609435528515
100,50,75,32,adam,0.005044662300497294
100,100,50,32,adam,0.005409194296225906
100,100,75,32,adam,0.0037314788671210406
100,150,50,32,adam,0.004069929197430611
100,150,75,32,adam,0.004407918965443969
150,50,50,32,adam,0.0038321027532219887
150,50,75,32,adam,0.005019518965855241
150,100,50,32,adam,0.005321019422262907
150,100,75,32,adam,0.003957309946417809
150,150,50,32,adam,0.0043929425533860925
150,150,75,32,adam,0.004000145243480802
100,50,50,64,adam,0.006969995377585292
100,50,75,64,adam,0.006601979304105043
100,100,50,64,adam,0.005080182058736682
100,100,75,64,adam,0.008210393181070686
100,150,50,64,adam,0.007329727103933692
100,150,75,64,adam,0.0063107145018875595
150,50,50,64,adam,0.010290275048464536
150,50,75,64,adam,0.010670916875824332
150,100,50,64,adam,0.009508412890136242
150,100,75,64,adam,0.007006028527393937
150,150,50,64,adam,0.005985782714560628
150,150,75,64,adam,0.004531401488929987
