lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003625230398029089
100,50,75,32,adam,0.004132576030679047
100,100,50,32,adam,0.003969284472987056
100,100,75,32,adam,0.0057802566094324
100,150,50,32,adam,0.004171049315482378
100,150,75,32,adam,0.0052359951194375755
150,50,50,32,adam,0.006292104301974177
150,50,75,32,adam,0.00305262275505811
150,100,50,32,adam,0.0030186612391844394
150,100,75,32,adam,0.0032932390226051212
150,150,50,32,adam,0.005101471859961748
150,150,75,32,adam,0.004844947205856443
100,50,50,64,adam,0.004372184304520488
100,50,75,64,adam,0.007867542607709766
100,100,50,64,adam,0.007495219819247723
100,100,75,64,adam,0.008600072097033262
100,150,50,64,adam,0.0054403764195740225
100,150,75,64,adam,0.006297963624820113
150,50,50,64,adam,0.005862040724605322
150,50,75,64,adam,0.005524154147133231
150,100,50,64,adam,0.004228680906817317
150,100,75,64,adam,0.004383436171337962
150,150,50,64,adam,0.003352545900270343
150,150,75,64,adam,0.005304859485477209
