lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0019519650144502521
100,50,75,32,adam,0.0032039557583630083
100,100,50,32,adam,0.002217163285240531
100,100,75,32,adam,0.0021674257004633546
100,150,50,32,adam,0.0028535817051306366
100,150,75,32,adam,0.002605245774611831
150,50,50,32,adam,0.0017152647254988552
150,50,75,32,adam,0.002107010269537568
150,100,50,32,adam,0.0024936008034273983
150,100,75,32,adam,0.0015861942898482083
150,150,50,32,adam,0.0032601305982097985
150,150,75,32,adam,0.002013502037152648
100,50,50,64,adam,0.003041337989270687
100,50,75,64,adam,0.0038675136398524045
100,100,50,64,adam,0.0034346951404586436
100,100,75,64,adam,0.003881911234930158
100,150,50,64,adam,0.0016854058718308806
100,150,75,64,adam,0.004361026268452406
150,50,50,64,adam,0.004399945912882686
150,50,75,64,adam,0.011633836221881211
150,100,50,64,adam,0.003075076825916767
150,100,75,64,adam,0.004309403896331787
150,150,50,64,adam,0.004905739170499146
150,150,75,64,adam,0.0021620299434289337
