lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003034029924310744
100,50,75,32,adam,0.0029726103646680714
100,100,50,32,adam,0.004721553332637995
100,100,75,32,adam,0.004730286542326212
100,150,50,32,adam,0.003996691107749939
100,150,75,32,adam,0.004252779786475003
150,50,50,32,adam,0.0025323011679574845
150,50,75,32,adam,0.004855513386428356
150,100,50,32,adam,0.002800753223709762
150,100,75,32,adam,0.005681840446777641
150,150,50,32,adam,0.0024103470146656036
150,150,75,32,adam,0.0029023585142567755
100,50,50,64,adam,0.006034862319938839
100,50,75,64,adam,0.006334576534572989
100,100,50,64,adam,0.006558578368276358
100,100,75,64,adam,0.003966176952235401
100,150,50,64,adam,0.004036505788099021
100,150,75,64,adam,0.004320655483752489
150,50,50,64,adam,0.006117030919995159
150,50,75,64,adam,0.0034428431070409717
150,100,50,64,adam,0.003453384921886027
150,100,75,64,adam,0.005888678785413504
150,150,50,64,adam,0.004032228654250502
150,150,75,64,adam,0.004367508227005601
