lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.005911066965200007
100,50,75,32,adam,0.0032777955522760747
100,100,50,32,adam,0.0027503483463078736
100,100,75,32,adam,0.004202251485548913
100,150,50,32,adam,0.003128200117498636
100,150,75,32,adam,0.004185549169778824
150,50,50,32,adam,0.0035729204304516316
150,50,75,32,adam,0.002030959213152528
150,100,50,32,adam,0.002537822863087058
150,100,75,32,adam,0.0018325315555557608
150,150,50,32,adam,0.002370994654484093
150,150,75,32,adam,0.002740606083534658
100,50,50,64,adam,0.005966540891677141
100,50,75,64,adam,0.006571252923458814
100,100,50,64,adam,0.0046004613395780325
100,100,75,64,adam,0.006810033787041902
100,150,50,64,adam,0.004878412280231714
100,150,75,64,adam,0.005976370256394148
150,50,50,64,adam,0.006644542794674635
150,50,75,64,adam,0.0066835327539592985
150,100,50,64,adam,0.0037757409270852806
150,100,75,64,adam,0.006171734654344618
150,150,50,64,adam,0.004962368682026863
150,150,75,64,adam,0.005007580947130918
