lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.006079269666224718
100,50,75,32,adam,0.004507345426827669
100,100,50,32,adam,0.00901701282709837
100,100,75,32,adam,0.006419268250465393
100,150,50,32,adam,0.006179120112210512
100,150,75,32,adam,0.00678336676210165
150,50,50,32,adam,0.005838165199384094
150,50,75,32,adam,0.006365253496915102
150,100,50,32,adam,0.006529604271054268
150,100,75,32,adam,0.005468272138386965
150,150,50,32,adam,0.007925944402813911
150,150,75,32,adam,0.004873474780470133
100,50,50,64,adam,0.008561724610626698
100,50,75,64,adam,0.008500524517148732
100,100,50,64,adam,0.009889494255185127
100,100,75,64,adam,0.008401402924209832
100,150,50,64,adam,0.009531029500067234
100,150,75,64,adam,0.005825750157237053
150,50,50,64,adam,0.009087604004889727
150,50,75,64,adam,0.007671928498893976
150,100,50,64,adam,0.009478645212948323
150,100,75,64,adam,0.00795651152729988
150,150,50,64,adam,0.0069498964585363865
150,150,75,64,adam,0.0056545291095972065
