lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0030033108312636616
100,50,75,32,adam,0.0026758781052194534
100,100,50,32,adam,0.0031365347327664494
100,100,75,32,adam,0.0035147278336808085
100,150,50,32,adam,0.0037007319740951063
100,150,75,32,adam,0.0022377082612365486
150,50,50,32,adam,0.0033211734611541034
150,50,75,32,adam,0.00389145128428936
150,100,50,32,adam,0.0022731043049134315
150,100,75,32,adam,0.0035558413655962795
150,150,50,32,adam,0.0030176197411492466
150,150,75,32,adam,0.0036363100283779205
100,50,50,64,adam,0.004193140123970806
100,50,75,64,adam,0.006218503648415208
100,100,50,64,adam,0.00417296418454498
100,100,75,64,adam,0.003978064632974565
100,150,50,64,adam,0.004719406086951494
100,150,75,64,adam,0.005617835489101708
150,50,50,64,adam,0.003364928881637752
150,50,75,64,adam,0.004566977638751269
150,100,50,64,adam,0.002347066905349493
150,100,75,64,adam,0.004815984284505248
150,150,50,64,adam,0.0037110868841409685
150,150,75,64,adam,0.005150841735303402
