lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00816476633772254
100,50,75,32,adam,0.007584206550382078
100,100,50,32,adam,0.006506636273115873
100,100,75,32,adam,0.006566395750269294
100,150,50,32,adam,0.005552307469770312
100,150,75,32,adam,0.006356007838621736
150,50,50,32,adam,0.006040874030441045
150,50,75,32,adam,0.005703153042122722
150,100,50,32,adam,0.0071278820279985665
150,100,75,32,adam,0.005116921151056886
150,150,50,32,adam,0.005413148319348693
150,150,75,32,adam,0.00512002247851342
100,50,50,64,adam,0.007194675179198385
100,50,75,64,adam,0.004839575104415417
100,100,50,64,adam,0.00811388692818582
100,100,75,64,adam,0.008529577683657408
100,150,50,64,adam,0.004482518881559372
100,150,75,64,adam,0.006926427874714136
150,50,50,64,adam,0.005839022342115641
150,50,75,64,adam,0.005945265386253595
150,100,50,64,adam,0.005432663997635245
150,100,75,64,adam,0.007469965517520905
150,150,50,64,adam,0.0075762920081615445
150,150,75,64,adam,0.008167015388607979
