lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0029664871515706183
100,50,75,32,adam,0.0023488525999709963
100,100,50,32,adam,0.0018128713127225637
100,100,75,32,adam,0.00137969006318599
100,150,50,32,adam,0.003276827069930732
100,150,75,32,adam,0.002419635048136115
150,50,50,32,adam,0.003669559839181602
150,50,75,32,adam,0.0042681563412770625
150,100,50,32,adam,0.0022826514206826685
150,100,75,32,adam,0.0025531796040013433
150,150,50,32,adam,0.0021143131190910934
150,150,75,32,adam,0.0010459980985615402
100,50,50,64,adam,0.0068516147322952746
100,50,75,64,adam,0.0061930709052830935
100,100,50,64,adam,0.008381290500983596
100,100,75,64,adam,0.005723235988989472
100,150,50,64,adam,0.004159321077167988
100,150,75,64,adam,0.0041487677954137325
150,50,50,64,adam,0.0023847757373005153
150,50,75,64,adam,0.0061006230302155014
150,100,50,64,adam,0.004837975557893515
150,100,75,64,adam,0.005132459895685315
150,150,50,64,adam,0.0034115230664610863
150,150,75,64,adam,0.0023568472126498817
