lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00933707170188427
100,50,75,32,adam,0.0053929264657199385
100,100,50,32,adam,0.007972703035920858
100,100,75,32,adam,0.008562862221151591
100,150,50,32,adam,0.005729474336840212
100,150,75,32,adam,0.005723348143510521
150,50,50,32,adam,0.008179765194654465
150,50,75,32,adam,0.006263767462223768
150,100,50,32,adam,0.0070198888424783945
150,100,75,32,adam,0.007024045055732131
150,150,50,32,adam,0.007800769340246916
150,150,75,32,adam,0.007778632361441851
100,50,50,64,adam,0.01017193989828229
100,50,75,64,adam,0.011426373571157455
100,100,50,64,adam,0.01074491161853075
100,100,75,64,adam,0.008895724453032017
100,150,50,64,adam,0.010951702948659658
100,150,75,64,adam,0.010689682886004448
150,50,50,64,adam,0.011686097271740437
150,50,75,64,adam,0.00805630786344409
150,100,50,64,adam,0.008815729129128157
150,100,75,64,adam,0.007990796212106943
150,150,50,64,adam,0.013806481193751097
150,150,75,64,adam,0.009688874613493681
