lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.007930999621748924
100,50,75,32,adam,0.008960582176223397
100,100,50,32,adam,0.006789119238965214
100,100,75,32,adam,0.00644490725826472
100,150,50,32,adam,0.00679635729175061
100,150,75,32,adam,0.0063212991692125796
150,50,50,32,adam,0.009282771265134215
150,50,75,32,adam,0.008165408996865154
150,100,50,32,adam,0.007603642577305436
150,100,75,32,adam,0.006024298863485456
150,150,50,32,adam,0.007884591654874384
150,150,75,32,adam,0.006500589102506638
100,50,50,64,adam,0.013189808651804923
100,50,75,64,adam,0.010889803245663642
100,100,50,64,adam,0.009755966532975436
100,100,75,64,adam,0.014497401751577854
100,150,50,64,adam,0.009695096593350171
100,150,75,64,adam,0.013290579430758953
150,50,50,64,adam,0.010177888069301843
150,50,75,64,adam,0.010797307454049587
150,100,50,64,adam,0.008490267395973205
150,100,75,64,adam,0.008744976669549941
150,150,50,64,adam,0.007150738872587681
150,150,75,64,adam,0.007840350549668074
