lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0034059353405609728
100,50,75,32,adam,0.004531979165039957
100,100,50,32,adam,0.003912094002589584
100,100,75,32,adam,0.0032647312385961414
100,150,50,32,adam,0.003695219149813056
100,150,75,32,adam,0.0031707115587778388
150,50,50,32,adam,0.0035680609755218027
150,50,75,32,adam,0.002349680312909186
150,100,50,32,adam,0.003763574245385826
150,100,75,32,adam,0.00259689309168607
150,150,50,32,adam,0.003176792920567095
150,150,75,32,adam,0.0028191963210701942
100,50,50,64,adam,0.0037911574821919204
100,50,75,64,adam,0.00870023095048964
100,100,50,64,adam,0.004426739178597927
100,100,75,64,adam,0.004857218731194735
100,150,50,64,adam,0.004852654703427106
100,150,75,64,adam,0.005288771446794271
150,50,50,64,adam,0.006386970682069659
150,50,75,64,adam,0.005134297325275839
150,100,50,64,adam,0.005044840183109045
150,100,75,64,adam,0.005981884291395545
150,150,50,64,adam,0.004946550459135324
150,150,75,64,adam,0.006021348759531975
