lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00417128843255341
100,50,75,32,adam,0.003928273124620319
100,100,50,32,adam,0.0035174782387912273
100,100,75,32,adam,0.003161351731978357
100,150,50,32,adam,0.004978468525223434
100,150,75,32,adam,0.0038480265764519574
150,50,50,32,adam,0.0020560418255627156
150,50,75,32,adam,0.002673838217742741
150,100,50,32,adam,0.0034145601326599716
150,100,75,32,adam,0.0023501944495365025
150,150,50,32,adam,0.002152075036428869
150,150,75,32,adam,0.0042405489832162855
100,50,50,64,adam,0.002390666608698666
100,50,75,64,adam,0.00646335338242352
100,100,50,64,adam,0.0021220789523795245
100,100,75,64,adam,0.005733444960787893
100,150,50,64,adam,0.00449997978284955
100,150,75,64,adam,0.0036748640472069384
150,50,50,64,adam,0.004327961173839867
150,50,75,64,adam,0.007777394633740187
150,100,50,64,adam,0.006300402409397066
150,100,75,64,adam,0.004856150690466165
150,150,50,64,adam,0.004595763562247157
150,150,75,64,adam,0.005309299100190401
