lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.009794225730001927
100,50,75,32,adam,0.006439104746095836
100,100,50,32,adam,0.005670280102640391
100,100,75,32,adam,0.00526491398923099
100,150,50,32,adam,0.0071350967977195975
100,150,75,32,adam,0.006353885866701603
150,50,50,32,adam,0.0076999345794320105
150,50,75,32,adam,0.005686871567741036
150,100,50,32,adam,0.004529051668941975
150,100,75,32,adam,0.005981496116146445
150,150,50,32,adam,0.006476455158554018
150,150,75,32,adam,0.004135587555356324
100,50,50,64,adam,0.005153332045301795
100,50,75,64,adam,0.006650329194962978
100,100,50,64,adam,0.007539156917482614
100,100,75,64,adam,0.006709918798878789
100,150,50,64,adam,0.006339812418445945
100,150,75,64,adam,0.006673675728961825
150,50,50,64,adam,0.008127568988129497
150,50,75,64,adam,0.0062368113547563555
150,100,50,64,adam,0.00772369340993464
150,100,75,64,adam,0.00856636669486761
150,150,50,64,adam,0.007168422732502222
150,150,75,64,adam,0.00840061018243432
