lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.00647375606931746
100,50,75,32,adam,0.003225209470838308
100,100,50,32,adam,0.004054743144661188
100,100,75,32,adam,0.0043738784966990355
100,150,50,32,adam,0.0033837066730484366
100,150,75,32,adam,0.005293931812047958
150,50,50,32,adam,0.005224070977419615
150,50,75,32,adam,0.00588135034777224
150,100,50,32,adam,0.004490846488624811
150,100,75,32,adam,0.004764183354564011
150,150,50,32,adam,0.005039738165214658
150,150,75,32,adam,0.004186043585650623
100,50,50,64,adam,0.005171403661370278
100,50,75,64,adam,0.007844280591234565
100,100,50,64,adam,0.0038598911836743356
100,100,75,64,adam,0.005069980002008379
100,150,50,64,adam,0.004816653556190431
100,150,75,64,adam,0.00683465413749218
150,50,50,64,adam,0.003758646990172565
150,50,75,64,adam,0.005506746005266905
150,100,50,64,adam,0.005169989622663707
150,100,75,64,adam,0.006484943069517612
150,150,50,64,adam,0.00397804630920291
150,150,75,64,adam,0.007035701046697795
