lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003504539025016129
100,50,75,32,adam,0.0069578459020704034
100,100,50,32,adam,0.004982743877917528
100,100,75,32,adam,0.004855644516646862
100,150,50,32,adam,0.004690734529867768
100,150,75,32,adam,0.004772055242210626
150,50,50,32,adam,0.003088286193087697
150,50,75,32,adam,0.0030436753295361996
150,100,50,32,adam,0.0037627659738063814
150,100,75,32,adam,0.002714880323037505
150,150,50,32,adam,0.003738843556493521
150,150,75,32,adam,0.0027393654687330126
100,50,50,64,adam,0.0056552357040345665
100,50,75,64,adam,0.0043411895399913195
100,100,50,64,adam,0.006018641823902726
100,100,75,64,adam,0.004683937225490808
100,150,50,64,adam,0.006983965868130326
100,150,75,64,adam,0.006554784718900919
150,50,50,64,adam,0.00749412477016449
150,50,75,64,adam,0.004807274066843092
150,100,50,64,adam,0.005486748879775405
150,100,75,64,adam,0.004115666076540947
150,150,50,64,adam,0.004653068748302758
150,150,75,64,adam,0.005518803279846907
