lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.0041668221820145845
100,50,75,32,adam,0.004574744566343725
100,100,50,32,adam,0.00501909963786602
100,100,75,32,adam,0.0040898831794038415
100,150,50,32,adam,0.002959621977061033
100,150,75,32,adam,0.0033287547528743746
150,50,50,32,adam,0.0031105625443160535
150,50,75,32,adam,0.004489179654046893
150,100,50,32,adam,0.003049152251332998
150,100,75,32,adam,0.0032882655039429666
150,150,50,32,adam,0.004811372980475426
150,150,75,32,adam,0.004184276284649968
100,50,50,64,adam,0.007830772269517183
100,50,75,64,adam,0.00789444725960493
100,100,50,64,adam,0.005900346022099256
100,100,75,64,adam,0.005781036312691867
100,150,50,64,adam,0.006769198225811124
100,150,75,64,adam,0.007458405615761876
150,50,50,64,adam,0.006786960456520319
150,50,75,64,adam,0.004738313471898436
150,100,50,64,adam,0.005677975807338953
150,100,75,64,adam,0.004668580228462815
150,150,50,64,adam,0.005136940907686949
150,150,75,64,adam,0.003738233703188598
