lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.008746347017586231
100,50,75,32,adam,0.010579193802550435
100,100,50,32,adam,0.010480368975549936
100,100,75,32,adam,0.009448625892400742
100,150,50,32,adam,0.010041130566969514
100,150,75,32,adam,0.010191485472023486
150,50,50,32,adam,0.009847876662388445
150,50,75,32,adam,0.008746129018254578
150,100,50,32,adam,0.009033952513709665
150,100,75,32,adam,0.00876605357043445
150,150,50,32,adam,0.00983071131631732
150,150,75,32,adam,0.009615939343348145
100,50,50,64,adam,0.009914787486195564
100,50,75,64,adam,0.013047225028276443
100,100,50,64,adam,0.012118687015026807
100,100,75,64,adam,0.009368547215126454
100,150,50,64,adam,0.01139804320409894
100,150,75,64,adam,0.009755035163834691
150,50,50,64,adam,0.010984326852485538
150,50,75,64,adam,0.011068441625684499
150,100,50,64,adam,0.011318456055596471
150,100,75,64,adam,0.011687329411506653
150,150,50,64,adam,0.01036448935046792
150,150,75,64,adam,0.008922896487638355
