lstm_units,dense_units1,dense_units2,batch_size,optimizer,avg_val_mse
100,50,50,32,adam,0.003257507085800171
100,50,75,32,adam,0.004540587519295513
100,100,50,32,adam,0.004570621927268803
100,100,75,32,adam,0.004147912468761205
100,150,50,32,adam,0.004561258899047971
100,150,75,32,adam,0.004662420460954308
150,50,50,32,adam,0.0051652503432706
150,50,75,32,adam,0.0033509620930999517
150,100,50,32,adam,0.0037486097309738396
150,100,75,32,adam,0.003929634299129248
150,150,50,32,adam,0.006287285964936018
150,150,75,32,adam,0.0041676877532154325
100,50,50,64,adam,0.004356863675639033
100,50,75,64,adam,0.005867008818313479
100,100,50,64,adam,0.005864567589014769
100,100,75,64,adam,0.00447254185564816
100,150,50,64,adam,0.00561507917009294
100,150,75,64,adam,0.005244213901460171
150,50,50,64,adam,0.004990737419575453
150,50,75,64,adam,0.005966500053182245
150,100,50,64,adam,0.005640473356470466
150,100,75,64,adam,0.004453599499538541
150,150,50,64,adam,0.003922156849876046
150,150,75,64,adam,0.005086408671922981
